Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
Drug	ctd:D008154	Lucanthone	CTD	5.603E-20	4.344E-16	4.344E-16	4.141E-15	15	212	KIF20A,ESCO2,KIF15,CCNB2,SHCBP1,TPX2,ASPM,KIF14,WDR76,NCAPG2,TOP2A,CCNA2,KIF22,KIF2C,SPDL1
Drug	ctd:C015559	trimellitic anhydride	CTD	7.433E-15	5.763E-11	2.882E-11	2.747E-10	24	1898	KIF20A,ESCO2,H2AC15,TUBB4B,MIS18BP1,KIF15,ZBED4,SLC25A5,CCNB2,CTSC,SHCBP1,TPX2,ASPM,CD53,LAMA3,KIF14,APOE,NCAPG2,TOP2A,PLAC8,CCNA2,KIF22,KIF2C,SPDL1
Drug	ctd:C500026	palbociclib	CTD	2.522E-14	1.956E-10	6.519E-11	6.215E-10	11	171	KIF20A,TUBB4B,KIF15,CCNB2,TPX2,LAMA3,KIF14,NCAPG2,TOP2A,CCNA2,KIF2C
Drug	ctd:D001379	Azathioprine	CTD	1.222E-11	9.474E-8	2.369E-8	2.258E-7	14	639	KIF20A,ESCO2,TUBB4B,MIS18BP1,KIF15,RGCC,SHCBP1,TPX2,ASPM,NCAPG2,TOP2A,CCNA2,KIF2C,SPDL1
Drug	ctd:D003375	Coumestrol	CTD	3.638E-11	2.821E-7	5.641E-8	5.378E-7	20	1796	KIF20A,ESCO2,H2AC15,SELENOP,NCAPD3,TUBB4B,MIS18BP1,KIF15,CCNB2,CTSC,SHCBP1,TPX2,ASPM,KIF14,WDR76,NCAPG2,TOP2A,CCNA2,KIF2C,SPDL1
Drug	5027_DN	Etoposide [33419-42-0]; Down 200; 6.8uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	6.846E-11	5.308E-7	8.846E-8	8.433E-7	9	180	KIF20A,KIF15,TPX2,ASPM,KIF14,WDR76,TOP2A,CCNA2,KIF2C
Drug	ctd:D010126	Ozone	CTD	1.138E-10	8.825E-7	1.261E-7	1.202E-6	17	1273	KIF20A,ESCO2,TUBB4B,MIS18BP1,KIF15,TCN2,CCNB2,CD86,SHCBP1,ASPM,APOE,LSM5,NCAPG2,TOP2A,CCNA2,KIF22,SPDL1
Drug	ctd:C028474	1,4-bis(2-(3,5-dichloropyridyloxy))benzene	CTD	5.674E-10	4.399E-6	5.380E-7	5.129E-6	18	1626	KIF20A,ESCO2,TUBB4B,MIS18BP1,KIF15,CCNB2,CTSC,SHCBP1,TPX2,ASPM,LAMA3,KIF14,NCAPG2,TOP2A,CCNA2,KIF22,KIF2C,SPDL1
Drug	ctd:D008748	Methylcholanthrene	CTD	6.246E-10	4.842E-6	5.380E-7	5.129E-6	15	1034	KIF20A,ESCO2,TUBB4B,TCN2,CCNB2,SHCBP1,TPX2,ASPM,LSM5,NCAPG2,TOP2A,CCNA2,KIF22,KIF2C,SPDL1
Drug	ctd:C029297	vinylidene chloride	CTD	1.103E-9	8.551E-6	8.551E-7	8.151E-6	17	1475	KIF20A,ESCO2,MIS18BP1,THY1,CCNB2,CTSC,SHCBP1,TPX2,ASPM,CD53,APOE,NCAPG2,TOP2A,PLAC8,CCNA2,KIF22,SPDL1
