Unnamed: 0,Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep1,Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep2,Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep3,Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep1,Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep2,Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep3,Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep1,Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep2,Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep3,Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep1,Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep2,Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep3,Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep1,Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep2,Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep3,Mmus_C57-6J_TMS_MHU2_GC_1G_Rep1,Mmus_C57-6J_TMS_MHU2_GC_1G_Rep2,Mmus_C57-6J_TMS_MHU2_GC_1G_Rep3
Narf,443.435283315838,452.423968025919,454.96316912309,320.856791811658,403.865409957485,401.097189878856,696.230299103338,492.81244756583,588.23917079814,397.181334256394,483.250995295069,393.417032549326,498.357788381545,525.122198117928,558.897439577707,590.603058739099,506.163092075587,448.800952116892
Klf6,385.346887485681,526.797188970486,491.196451666122,434.331499004286,301.975503860077,364.099887448725,460.793827580438,419.243807737744,471.528902572692,442.546724568581,427.709183816891,339.02518558276,462.632211813087,443.638634158986,371.242653265883,426.834645074739,479.402574919638,410.61896416416
Fer,52.8946037497135,35.7236686206915,35.6104023262752,66.4467806152054,49.964600439657,48.694612449725,42.5691456361792,46.3102485597314,37.6136935822826,78.1218338037374,44.2736480217381,62.2965402851212,47.3415887468639,50.5014155550597,47.1017789740796,36.9984622103082,39.9325195267075,27.2970897372502
Dlat,205.571574373071,253.409370345247,262.459930284254,163.183181490497,265.567319300808,222.087465785479,222.105568585736,154.061421431281,202.805318984924,194.189710695268,178.394683264695,196.04159558043,195.063020592048,161.280245974201,169.499375458323,192.144237394996,227.530733101059,275.66840696184
Ccnd2,1359.78468875866,2053.7880388295,1038.66042238221,1407.31671903991,1050.75294244254,1125.74146416865,900.162445359211,893.664003727021,923.545523419559,2715.92990625857,1241.02652194577,958.488637376516,1084.5240597765,1289.54295656053,1060.38321935699,838.227986880017,839.978444055833,872.569241808578
Scnn1g,32.5412461163194,17.2681957411595,17.8797554300612,21.3598681491588,37.062510193258,33.7575613426501,22.534203892381,16.2214812115123,16.9287645338028,24.114557194932,21.5558146611613,49.919280725498,23.9890164404287,13.7092671988942,15.8534013008375,12.5570926968294,10.1706396291124,11.303097569096
Mid2,96.8877382341255,81.8593071075618,38.9347328249488,95.8187423236005,92.3688667231147,74.8380779496436,45.555175128083,48.2343815478244,21.3729796319241,99.7492159306587,83.4887896403337,108.504365696638,64.8864473006777,95.0885713578408,59.2242274527313,39.932910082341,72.4617335600816,43.5600819858742
Dgke,1613.24630039515,1389.8528073259,1706.17376238596,1042.80075367056,1109.01860742483,963.332401274889,1733.26282371588,1821.65325622121,1872.26602909001,1172.52185888946,1375.22913987596,1215.84912759006,1762.90291718096,1574.34987206134,1665.70078959747,1785.69623338689,1912.92594457904,1870.62389908656
Scpep1,62.2529178037355,64.1824379463804,56.2304328483428,80.376373254454,76.1128349197566,101.81137386341,40.6310274278892,41.3190681352718,57.4796750534915,70.0779423860984,53.8665471734074,54.209177677593,49.7647866596198,59.9459916327168,44.6529857869074,43.0758221421657,47.7469718075502,49.7374432370738
Itgb2,1457.5151146729,1307.51936339423,1290.97668340659,1346.26756423872,1602.43521140744,1234.25521563028,1493.13292706998,1233.94860576129,1282.87870217791,1614.6524075343,1588.99583001837,1396.73551567792,1348.35452106347,1550.86802670418,1383.15240537257,1261.778651563,1095.32073662409,1103.59725518387
Cdh1,338.144424711382,298.878073261712,338.276106163571,522.862317924049,422.887190545568,429.163674605728,303.08406126305,284.472441406801,221.419850167987,479.731122638438,392.435838909809,433.650868142148,333.053556659934,470.677097019606,336.65870444643,253.98753072323,263.560542976147,351.882324602656
Cdh4,236.501438855185,200.342243854982,173.613784848544,333.639398993385,195.603048266517,183.500267304105,148.148167432135,126.966379442266,120.288426835183,234.65892388682,193.140642037598,270.198481968983,244.386947210794,163.375527842301,197.971606099849,179.96279801231,163.572880000204,211.371165900104
Ckmt1,37.2324243561445,18.983245673038,7.61238228906369,29.8245597410203,35.3830749196343,58.8832663030281,30.3435314153855,27.3892974892861,21.0542320086062,35.7903487288124,25.6887680289979,16.4022410890682,17.6213903920692,31.2084826531439,13.2004413428742,9.89442812867094,8.97299501419179,11.009448766366
Comt,160.878186738113,167.496569704524,179.150816731763,205.925916226979,207.558106259527,198.203559195498,134.503136838635,133.300121327074,142.980117975732,210.285951523532,195.454920532764,257.403071824483,175.116012930488,212.607027266699,227.358514234778,133.809626891141,180.291497437059,193.426577735094
Ccm2,803.188722349819,781.781055241923,817.457547329879,823.843800003527,705.897317354334,652.817513068497,1173.14685057269,887.319185914168,867.627033011131,861.876906502226,819.384770396425,832.088539004361,777.719780976545,790.814694444247,873.597703949103,826.414521798366,865.781033649081,935.49528093834
Tmprss2,13.1099109671378,31.3328630101931,18.442436957299,22.9930181365942,45.3983982857819,36.9571321423467,13.9904824050018,26.0899617516557,20.7285450441284,23.1067635886698,24.7620121044784,30.8565223067967,30.862151592616,23.4785693617958,13.3256582372769,24.0758564132785,24.3800138767369,19.9022750435074
Mx1,34.894735655279,115.45689687847,39.8445680493025,64.9623131833967,42.0014434706262,52.3994990535234,27.6652757180518,60.9341868708905,55.3998718988868,111.906858377569,38.8942375270452,61.8476216098836,38.4044724778381,70.3549307485868,25.6741960139619,28.0289208902272,36.2901743114396,36.5617408008559
Ndufa9,185.82980329523,163.681883898181,208.968576722751,174.752962477949,232.99055965649,214.970936718912,282.719091852386,190.454717726943,202.306926720118,134.910850307574,138.913042091066,156.605028737902,182.507226525239,145.673472687437,162.471861130595,217.731294976489,231.820629198998,181.233416123288
Lck,5227.50918352269,4943.58342466155,5455.72543768939,3954.38711794497,4201.64016040549,4478.52053431687,5647.72422008197,5891.32873599151,5565.24655753747,4583.38944044457,5682.53814435247,4721.18020998514,5498.53767789822,4665.87356715466,5075.70888972466,6455.8427742709,5499.65268960911,5425.81583918091
Galnt1,746.259700665858,988.900790293862,722.595502318377,838.731162597918,577.939733105213,550.690497637439,811.954723298269,814.385570984237,810.682210495117,741.186929360728,707.109765245362,677.378208022717,764.196019259664,697.349060378597,744.696719950468,739.130759478393,806.822338000932,867.326206505886
Mkrn2,223.413094166952,151.370251990884,145.563800412923,138.026738818526,292.348027135768,155.504988947144,353.70193848224,296.72108239964,215.533156450942,289.615889311049,168.813073207495,301.574206196697,217.523684205722,316.989686774774,360.233787767347,254.879764022863,269.399811407333,175.488999743208
Sox9,45.2746061037092,73.911027875572,77.8727759641083,79.1796572101989,106.171327460237,88.1237097947474,63.0288776525111,53.0660497903881,44.0517374183956,108.951327001762,89.8393842979373,98.4485986357076,80.021464595702,83.0056376182148,77.8523234553083,60.14732896017,59.4410737161081,56.5126467968831
C1d,100.020511553382,133.865400000382,168.745258838538,129.298859918971,96.826013914502,94.0052334002002,173.418836124546,248.351821725017,228.69950266928,116.943234007028,134.839152944266,175.419112728278,154.101866564668,121.19869117209,129.989812644469,176.504745544275,179.137974666855,172.363232768799
Gm2a,268.817980215163,210.723229364327,217.022933448522,348.138637082443,344.678309767953,346.091473496574,316.646748323852,213.738706766922,269.95695665183,390.468601158409,321.265221761708,364.837874840736,320.700250536886,359.471137892607,323.663278677385,249.678200054817,244.803740552321,210.227099792069
