Unnamed: 0,SLS-2_TMS_FLT_F13_Cut2,SLS-2_TMS_FLT_F14_Cut2,SLS-2_TMS_FLT_F15_Cut2,SLS-2_TMS_FLT_F16_Cut2,SLS-2_TMS_FLT_F17_Cut2,SLS-2_TMS_FLT_F18_Cut2,SLS-2_TMS_GC_G10_Cut2,SLS-2_TMS_GC_G11_Cut2,SLS-2_TMS_GC_G12_Cut2,SLS-2_TMS_GC_G22_Cut2,SLS-2_TMS_GC_G23_Cut2,SLS-2_TMS_GC_G24_Cut2
Idua,46.8913114574232,70.2228338663525,48.9741227522929,72.6922728006497,61.2596361745779,13.8412622373031,23.1893921293134,6.69305430864358,32.2525221537097,24.4606517796786,26.816448400553,37.4948402640067
Pik3r3,146.407537111858,247.546343551183,195.296237369912,216.093983256114,138.224106027409,120.188481968967,77.9329535915489,114.857596549529,86.6240753623399,80.0697390136918,132.814699769855,67.0708826207224
Dnajc1,359.010155532603,344.94885900132,372.736771793226,279.14227287448,406.202394707511,152.965367004837,244.418767622223,262.996054974942,237.623746711852,149.488379645538,288.99901830082,229.592635785634
Lamp2,880.501553268714,1116.70775378688,868.245813239525,817.108336071369,959.92137011772,703.655793560455,666.728270556049,619.913003516067,748.188463926829,540.843872779917,927.884612658158,614.250377591746
Amz2,69.275855272815,69.4427541641532,82.4094864166497,112.740774893661,138.10203274623,40.4799617086625,141.949066426312,71.7728473099983,146.535025075151,119.73712094608,162.256787340073,146.645874787299
Srsf2,812.051814810242,887.454064137517,692.859668422357,775.74067713314,639.396622372617,999.38564832458,700.643236811154,1150.62146116102,792.900999573162,948.381239831936,709.207363090806,881.558106126429
Cd164,1022.64132912741,1105.57330444787,999.229071162851,711.048724948825,963.41146188283,874.240505719962,706.599176460501,512.9290968517,847.665922675843,633.383380377602,977.964779968011,691.501143032204
Nelfe,200.875038730433,111.706813924643,202.216061589857,107.112213039066,188.056953357492,261.741513123197,222.200640903783,193.960164126002,201.473037455712,320.268455790646,233.731072982615,252.921695906099
Rnf5,309.292338804904,217.86055197304,218.395369331086,268.902335902122,231.457456871573,298.594450203569,371.883408844759,378.270856225125,400.111245573041,294.893214381466,268.292843453012,349.054634222585
Psmb8,2362.66935787623,3159.71998327875,2704.84066025692,2609.30759098023,2786.52468479681,4075.68944949083,2744.19586539805,3578.88523410532,2993.61476486235,4532.27914630419,3660.96116455036,3861.10722083121
Psmb9,1636.82581491144,1862.87859662609,1619.76278830905,1980.47261223364,1883.15875319838,1493.26058337715,2000.45602368435,1998.26129198166,2065.22891211702,2061.35357682794,1938.96139551685,2251.23740191496
Cuta,490.654830178169,539.244837463594,598.597728856343,443.4833239282,421.495590594671,756.240887765202,690.772162437045,875.475550364614,814.052714908585,731.371081596671,726.129837799068,564.447228164709
Srsf3,1641.60388998328,2161.90167158062,1476.04674261431,1510.47754334508,1855.87409727205,1292.75360168726,2251.96872824951,2304.2685143461,2007.73798893734,2149.94500938508,1563.09493592421,1961.5137546843
C20h6orf89,436.112452523351,410.74203724399,559.712248562256,638.637623418327,535.476204869456,969.306451444064,361.357410882235,398.766304623649,375.510841617752,386.524730816636,425.827363755928,526.570932909404
Dnah8,0.862021334293119,2.22868396890197,0.0,0.0,0.0,0.0,0.0,0.0,0.614443526433687,0.268408963512581,2.34403243082987,0.0
Prf1,826.525844676704,942.389073767767,960.061264303205,1111.84786950505,999.04591599055,1130.34290273107,797.28151492809,869.942403137061,810.623796420009,571.858107364885,853.338093942138,523.210736512458
Vsir,232.217110688416,282.338347961828,281.454317914732,275.89559147694,451.336430207556,407.908403395806,158.317490351896,101.911160692641,204.51928002264,111.339918682524,190.342061951364,189.076977057951
Psap,3120.84194794373,3942.17533854797,3328.33883110603,4501.5392673052,4422.27091255156,3624.98202541013,2300.96057710832,3564.97577211772,2471.82404272049,2157.85026590605,3010.75903905576,3091.47723709372
Cdk1,141.990329165894,163.252572281181,188.270191758156,168.78046363643,169.252026357482,115.575183787625,358.306919486519,164.374455705617,268.903861674778,344.220728947934,181.046691990561,370.794463833723
Arid5b,280.791851364679,240.324378243265,314.783893192755,127.90512960301,213.900242520601,275.475686264506,191.008939929496,91.8319777549712,145.08980367196,125.452378629505,171.793153230481,107.413661860706
Nek7,575.107604651934,657.098272408427,565.061267682111,555.294874595267,786.422257713216,465.896896660156,464.0337044878,315.732385744621,508.166838099531,426.921142402088,570.496433237186,474.119734323649
Tmem119,23.9016505696353,18.5361721541936,20.8213321665961,3.26739790188489,104.837615536247,75.2793402672497,34.9488527879009,0.0,7.71384130233027,32.1502113335476,18.1985435509686,12.3591333975264
Mrps18b,208.638327475492,250.181992042987,224.067239614966,219.698110430856,225.043722866681,395.152079544523,356.048840628407,398.024674577382,365.932331505923,493.701220672695,361.342077562743,331.750113599261
Gcc2,336.688146406877,471.444245703747,416.47604457584,421.96950769545,402.438160024816,394.304879580953,265.933719660131,282.716568768575,286.769023415916,328.699145152919,312.237168475692,225.902768455473
Vars1,181.304069802062,141.214011347014,227.622869328036,191.550535143248,112.858511865619,139.398020285328,318.084016456818,338.679275237783,191.616556384661,365.474528916576,234.889517726714,302.086558142325
Tmem248,462.545508830773,595.636928041668,539.148444389111,738.435601659518,886.194173407906,637.940565584862,228.958615071439,250.402299532248,449.098963633803,337.428362951962,614.877449866157,315.009693711024
Fry,20.7487406582631,28.9058267961643,47.0033191948981,16.1163784527348,14.6307146059764,27.8364451260934,2.06847893143153,6.73026909664353,15.3092423079691,11.4528136456297,24.1069836415849,14.3276045893049
Hsph1,193.430379911646,172.829708604691,163.135265299608,98.9380829339499,206.443366749217,210.098209091673,284.231533635163,266.696141817021,294.431751759775,422.886612019803,230.262673449465,316.179068410969
Ran,2759.0602594164,3509.62572604052,2970.48392532377,3596.38813832765,3558.03302938341,2709.18799132866,6252.12951335483,4457.78540277538,4506.52649730982,4338.2671367344,3137.66871433202,4971.23802460117
Timm44,151.003595574962,156.288239212767,204.982825434295,159.118535745162,198.240258325789,118.758277165729,162.891087731794,177.967269218734,127.308747325526,158.771220814946,134.671285897424,164.933803882156
Elavl1,48.4382950078438,63.8256264733595,45.641267439077,38.9490268952642,41.3728221996021,37.3921531474789,79.1618634416795,26.3000408691006,112.923923338743,78.9576784699782,87.812049443627,65.0738212352529
Cdk2ap1,560.885531788367,512.539536816537,501.40006679949,423.884494864589,541.828298770041,567.477229955015,704.396101388896,947.919064827497,630.266715347466,887.308696542343,500.30192745576,842.353718526079
Rnft2,0.474878423594763,8.59378200760697,3.1695289718977,0.0,0.0,0.0,0.0,0.0,0.406189940290117,1.77435143422209,0.0,0.0
Abcg1,546.736781918841,361.81141449036,443.904913898127,714.032167626766,496.168294046756,732.821113103687,411.928173152963,427.526837493763,334.849186217544,324.359152042282,582.648858788977,349.201090764712
Triap1,837.699322154661,625.962288718475,898.245642879772,506.334012264035,782.324090144166,761.443268812295,1618.66921972508,979.680458452917,1095.32583697884,941.280321788433,924.355561153373,1252.37397054963
Rnf10,642.511794438007,594.180599844117,669.404621838852,360.292550100386,391.156392865839,693.437989364546,766.571297066693,989.51551096904,832.083298966834,921.774006852385,742.248204443632,691.223659001819
Agpat3,331.464604289773,311.839151516435,356.255012237749,353.804831031479,492.704827261154,390.905949899285,289.541909698825,223.543476589895,308.297207009644,211.148109316508,344.7782885845,190.298766621276
Pttg1ip,743.782060525377,642.749946116309,706.176325789568,891.799175454054,938.234370248626,824.034893516061,539.427877981147,775.061417910385,580.414939633996,401.726545279638,740.242696360114,522.946021094971
Pofut2,228.892499534199,227.104850212635,252.928505188288,415.468821144819,436.291044165217,169.961206592128,186.78501328122,134.785230508051,184.615033216956,82.5070062421234,177.427947437869,169.431388343654
P2rx4,158.690395640893,228.135913584278,276.311588088436,150.160348797374,151.474781452025,385.069155080121,150.79836919865,99.5712553997883,175.201493744289,113.215907189559,164.779234067738,146.160455148757
Adora2a,133.916219455508,62.6082692636077,154.039152533282,136.326153953882,105.311521888947,125.771041448924,93.7391884080047,121.635208760603,75.1456828786604,70.0866583722433,76.962732555335,57.7046670127331
Cfap251,0.0,3.68270760417851,0.0,22.720856440523,0.0,0.0,0.0,0.0,1.42168153667143,0.44358555882146,1.03306262940147,0.0
Plbd2,330.517019057608,300.759804640958,287.793339987547,318.093168096541,391.157545597115,312.72870889262,209.699319423493,246.558418472049,257.526874106047,225.785273819127,315.08321988547,278.702511247783
Gnb2,1446.30178780231,1322.27584711014,1309.90643889155,1336.28913225807,1154.89841965562,1169.5730997814,1889.52516466591,1381.01013722006,1533.95174075085,1937.0671220407,1552.60039113328,1346.36517743058
Serpine1,35.1410734097902,17.1870446914683,19.0171767425111,38.9505471583813,15.0444765015613,47.5888807279979,13.8871604786922,3.28742688491056,13.8105109264213,6.21021953934524,14.9792605614762,12.277506812061
Mdh2,1175.48001182333,1323.60158264006,1250.21909876454,1110.86714956357,1084.7494407292,978.354667488427,1566.70957030023,1489.04270130044,1301.99244936862,1695.02861028822,1120.08636566023,1531.88832361674
Pdcd2,352.839535807787,409.960454519859,442.466712251837,603.711004054976,492.712419561371,530.288135251338,304.147317197174,315.600143985631,323.741971600837,309.620709055614,362.095075681444,332.735237852657
Snrpa,218.446862607679,193.936423139871,270.044132571288,499.848373576381,319.698568152867,234.550055606818,429.137081105072,345.186972034292,357.659021270062,636.985282179388,276.865167827573,380.618163167264
Itga6,1071.82710710835,1053.26096089892,952.011854037564,1291.66499187485,859.65705835977,1032.024743166,688.114716284873,942.642442680992,720.366694314313,696.086892745027,1062.37933094661,760.926964562406
Hat1,244.99802642263,216.675509169112,199.138634491541,110.684054459247,86.987065793582,214.789436949225,314.764133823662,319.832617318885,249.335932781754,494.566305595115,244.811823989692,331.201318198515
Atp5pf,2649.40343567595,2925.84724113749,2853.84856271219,2564.08729800742,3907.87862804174,3106.99007657046,4090.17810511356,3931.90936068173,3227.92125896548,3731.83700506736,2869.17776728589,3910.67214066591
Map3k7cl,13.338125981992,0.0,3.11115729777098,0.0,0.0,7.34426390773124,17.3867855987692,31.9624039439704,22.1490443367035,6.70872201631658,10.3342700838205,17.2424779993089
Cct8,531.379218712985,490.202369094334,591.463933864738,501.558088244336,522.500157650511,488.850922906923,630.267404592019,663.636000613098,635.531540689039,903.313965592315,625.191850977713,863.87430120199
Atp5mc3,1647.69435342617,1960.97338307755,1744.42686462361,1761.86556532646,1701.32230856064,1892.72585543117,3228.00054707172,2209.57730473583,2978.67153314388,2458.4794626001,1993.79024998146,2185.68475571798
Hes1,89.7530005727617,58.9190548425921,79.2382905354583,84.3904802884005,11.2834578951159,84.9816002574376,93.0482484845831,75.6121139136442,111.704575884678,184.530845879558,122.161048093983,141.196070576411
Bdh1,79.7802860052817,36.8255212495284,54.5159355716959,45.4413135010822,18.805725691403,33.9925098385702,172.901312564783,174.235942624436,92.0035981115877,164.569854149156,62.5007043418554,55.2502212747797
Slc51a,41.3147963917173,34.3704181016394,29.7935929957875,19.4748405753854,120.356660227994,54.3880294773799,184.011561632129,16.4373572290227,137.700784267774,90.047646031951,163.225031052038,202.584244964502
Itpr2,635.655684688903,820.054776837798,593.831368340301,1175.86870060211,722.146951675418,849.837057367418,595.418359659503,768.26128978441,559.641408946238,473.126114191312,591.142683816714,351.734011706368
Ranbp1,923.537526234703,875.399438151183,967.721147902779,999.232223872761,1221.62137326969,771.562938081333,1419.23514923715,1290.41897634931,1059.28889736683,1894.15205592124,1043.84614399926,1513.98361331401
Tp63,71.5419407213671,34.6550859193146,62.628182655067,79.4081279920084,7.07785704651454,79.959698044133,11.1066347727808,51.9321276015639,31.4190689868139,25.0430321269894,65.8483241760734,40.4324324380915
Alcam,306.632094840189,426.814380151113,377.061124561077,463.524508754977,203.362318364322,209.975585535573,166.730085654639,285.374162314297,234.589143326086,178.060336138087,372.737343883135,199.510588140156
Sidt1,6.98794684966687,10.4997563508902,4.21677435713494,0.0,60.7607576189975,6.46047211621663,4.81104538508872,0.0,6.72244342802267,4.21538082709285,9.08072930602148,3.50015692778316
Igfbp7,1379.063338685,1731.94879765922,1409.80777174551,1755.96567686622,2117.53102241325,1872.99802682586,1217.27171617784,1347.870677434,1195.2412319389,819.298527263431,1612.63294018295,1251.12462229857
Slc10a6,10.4473683683013,52.7870786619256,20.9188978305111,68.1630002057487,135.400576483761,0.0,12.4985814573086,0.0,13.2012776786114,17.7434524529512,10.3305769245334,14.7331263014695
Tgfbr3,3.79902876210199,33.147263291687,6.9729639317578,0.0,7.52222597232265,0.0,0.694352181709135,0.0,6.29594845168382,0.887175445660565,5.42350426314928,0.0
Sgcb,58.0838158427674,32.0684386679622,31.7500935987184,78.1358912579786,63.6018779968102,37.3750216074973,28.9125765041548,22.1762794612037,20.6365257191227,28.4889526299753,23.0262215419931,33.7733244799131
