Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[diet]	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Parameter Value[habitat]	Parameter Value[Enrichment material]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[Launch Date]	Comment[Euthanasia and Dissection Date]	Comment[ALSDA Source Name]	Comment[ALSDA Biospecimen Subject ID]	Comment[ALSDA Biospecimen Source ID]
F1	RR9_TMS_FLT_F1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	23.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8/14/17	9/18/17	Thymus - half (FLT)	584	5776
F6	RR9_TMS_FLT_F6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	27	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8/14/17	9/18/17	Thymus - half (FLT)	584	5776
F7	RR9_TMS_FLT_F7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	29.5	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8/14/17	9/18/17	Thymus - half (FLT)	584	5776
F3	RR9_TMS_FLT_F3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	27.5	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8/14/17	9/18/17	Thymus - half (FLT)	584	5776
F5	RR9_TMS_FLT_F5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	26.5	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8/14/17	9/18/17	Thymus - half (FLT)	584	5776
F2	RR9_TMS_FLT_F2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	25.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8/14/17	9/18/17	Thymus - half (FLT)	584	5776
F8	RR9_TMS_FLT_F8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	31.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8/14/17	9/18/17	Thymus - half (FLT)	584	5776
F4	RR9_TMS_FLT_F4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	24.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8/14/17	9/18/17	Thymus - half (FLT)	584	5776
F10	RR9_TMS_FLT_F10	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	26.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8/14/17	9/18/17	Thymus - half (FLT)	584	5776
F9	RR9_TMS_FLT_F9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	25	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8/14/17	9/18/17	Thymus - half (FLT)	584	5776
