Source Name	Sample Name	Comment[Original Submitted Sample Name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Space Mission]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Altered Gravity]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Habitat]	Term Source REF	Term Accession Number	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Feeding Schedule]	Term Source REF	Term Accession Number	Protocol REF	Comment[Initiation Date]	Comment[Completion Date]	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number
MHU1_AG1	Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep1	SAMD00185338	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory (USA)	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	8	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Charles River Formula 1 (CRF-1)			thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	MHU-1			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G by centrifugation			Animal Husbandry	Habitat Cage Unit (HCU)	OSD	https://osdr.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ad libitum	OSD	https://osdr.nasa.gov/	sample collection	18-Jul-16	26-Aug-16	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	8.97	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.23	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041
MHU1_AG2	Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep2	SAMD00185339	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory (USA)	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	8	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Charles River Formula 1 (CRF-1)			thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	MHU-1			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G by centrifugation			Animal Husbandry	Habitat Cage Unit (HCU)	OSD	https://osdr.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ad libitum	OSD	https://osdr.nasa.gov/	sample collection	18-Jul-16	26-Aug-16	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	8.97	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.23	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041
MHU1_AG3	Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep3	SAMD00185340	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory (USA)	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	8	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Charles River Formula 1 (CRF-1)			thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	MHU-1			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G by centrifugation			Animal Husbandry	Habitat Cage Unit (HCU)	OSD	https://osdr.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ad libitum	OSD	https://osdr.nasa.gov/	sample collection	18-Jul-16	26-Aug-16	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	8.97	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.23	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041
MHU1_MG1	Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep1	SAMD00185341	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory (USA)	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	8	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Charles River Formula 1 (CRF-1)			thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	MHU-1			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	uG			Animal Husbandry	Habitat Cage Unit (HCU)	OSD	https://osdr.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ad libitum	OSD	https://osdr.nasa.gov/	sample collection	18-Jul-16	26-Aug-16	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	8.97	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.23	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041
MHU1_MG2	Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep2	SAMD00185342	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory (USA)	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	8	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Charles River Formula 1 (CRF-1)			thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	MHU-1			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	uG			Animal Husbandry	Habitat Cage Unit (HCU)	OSD	https://osdr.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ad libitum	OSD	https://osdr.nasa.gov/	sample collection	18-Jul-16	26-Aug-16	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	8.97	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.23	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041
MHU1_MG3	Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep3	SAMD00185343	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory (USA)	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	8	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Charles River Formula 1 (CRF-1)			thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	MHU-1			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	uG			Animal Husbandry	Habitat Cage Unit (HCU)	OSD	https://osdr.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ad libitum	OSD	https://osdr.nasa.gov/	sample collection	18-Jul-16	26-Aug-16	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	8.97	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.23	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041
MHU1_GC1	Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep1	SAMD00185344	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424	Charles River Laboratories (Japan)	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	8	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Charles River Formula 1 (CRF-1)			thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	MHU-1			Ground Control			1G on Earth			Animal Husbandry	Habitat Cage Unit (HCU)	OSD	https://osdr.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ad libitum	OSD	https://osdr.nasa.gov/	sample collection	25-Sep-16	30-Oct-16	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
MHU1_GC2	Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep2	SAMD00185345	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories (Japan)	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	8	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Charles River Formula 1 (CRF-1)			thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	MHU-1			Ground Control			1G on Earth			Animal Husbandry	Habitat Cage Unit (HCU)	OSD	https://osdr.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ad libitum	OSD	https://osdr.nasa.gov/	sample collection	25-Sep-16	30-Oct-16	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
MHU1_GC3	Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep3	SAMD00185346	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424	Charles River Laboratories (Japan)	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	8	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Charles River Formula 1 (CRF-1)			thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	MHU-1			Ground Control			1G on Earth			Animal Husbandry	Habitat Cage Unit (HCU)	OSD	https://osdr.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ad libitum	OSD	https://osdr.nasa.gov/	sample collection	25-Sep-16	30-Oct-16	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
MHU2_F4	Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep1	SAMD00185347	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory (USA)	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	9	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Charles River Formula 1 (CRF-1) with FOS			thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	MHU-2			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G by centrifugation			Animal Husbandry	Habitat Cage Unit (HCU)	OSD	https://osdr.nasa.gov/	34	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ad libitum	OSD	https://osdr.nasa.gov/	sample collection	14-Aug-17	17-Sep-17	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	8.84	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.26	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	34	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041
