Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[diet]	Characteristics[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[ALSDA Biospecimen Subject ID]	Comment[ALSDA Biospecimen Source ID]	Comment[ALSDA Source Name]	Comment[Euthanasia and Dissection Date (mm/dd/yyyy)]
262	SLS-2_TMS_FLT_F13_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Research Animal Housing Facility (RAHF)	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	248	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	240	2275	Thymus-Rep 2	11/01/1993
305	SLS-2_TMS_FLT_F14_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Research Animal Housing Facility (RAHF)	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	257	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	240	2275	Thymus-Rep 2	11/01/1993
282	SLS-2_TMS_FLT_F15_Cut1_LibRep1	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Research Animal Housing Facility (RAHF)	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	223	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	240	2275	Thymus-Rep 1	11/01/1993
282	SLS-2_TMS_FLT_F15_Cut1_LibRep2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Research Animal Housing Facility (RAHF)	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	223	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	240	2275	Thymus-Rep 1	11/01/1993
282	SLS-2_TMS_FLT_F15_Cut1_LibRep3	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Research Animal Housing Facility (RAHF)	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	223	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	240	2275	Thymus-Rep 1	11/01/1993
282	SLS-2_TMS_FLT_F15_Cut1_LibRep4	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Research Animal Housing Facility (RAHF)	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	223	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	240	2275	Thymus-Rep 1	11/01/1993
282	SLS-2_TMS_FLT_F15_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Research Animal Housing Facility (RAHF)	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	223	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	240	2275	Thymus-Rep 2	11/01/1993
307	SLS-2_TMS_FLT_F16_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Research Animal Housing Facility (RAHF)	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	236	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	240	2275	Thymus-Rep 2	11/01/1993
290	SLS-2_TMS_FLT_F17_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Research Animal Housing Facility (RAHF)	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	245	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	240	2275	Thymus-Rep 2	11/01/1993
294	SLS-2_TMS_FLT_F18_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Research Animal Housing Facility (RAHF)	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	221	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	240	2275	Thymus-Rep 2	11/01/1993
